lat,lon,2010/01/16,2010/02/15,2010/03/16,2010/04/16,2010/05/16,2010/06/16,2010/07/16,2010/08/16,2010/09/16,2010/10/16,2010/11/16,2010/12/16,2011/01/16,2011/02/15,2011/03/16,2011/04/16,2011/05/16,2011/06/16,2011/07/16,2011/08/16,2011/09/16,2011/10/16,2011/11/16,2011/12/16,2012/01/16,2012/02/15,2012/03/16,2012/04/16,2012/05/16,2012/06/16,2012/07/16,2012/08/16,2012/09/16,2012/10/16,2012/11/16,2012/12/16,2013/01/16,2013/02/15,2013/03/16,2013/04/16,2013/05/16,2013/06/16,2013/07/16,2013/08/16,2013/09/16,2013/10/16,2013/11/16,2013/12/16,2014/01/16,2014/02/15,2014/03/16,2014/04/16,2014/05/16,2014/06/16,2014/07/16,2014/08/16,2014/09/16,2014/10/16,2014/11/16,2014/12/16,2015/01/16,2015/02/15,2015/03/16,2015/04/16,2015/05/16,2015/06/16,2015/07/16,2015/08/16,2015/09/16,2015/10/16,2015/11/16,2015/12/16,2016/01/16,2016/02/15,2016/03/16,2016/04/16,2016/05/16
22.5,72.5,313.156,317.562,336.094,342.25,346.438,305.688,285.656,285.188,295.312,314.344,308.188,318.25,311.062,318.469,334.562,332.25,338.062,309.688,287.969,282.531,297.906,318.656,318.312,319.406,310.375,314.281,338.594,330.406,338.875,310.094,289.625,282.812,296.656,317.844,321.656,310.812,310.156,314.281,332.656,332.094,341.625,293.062,279.094,284.969,296.062,311.469,316.406,318.812,305.844,310.688,322.656,333.906,331.562,316.625,292.938,286.812,300.719,316.719,315.844,314.656,313.188,312.969,316.969,331.469,338.719,304.344,296.094,292.406,304.469,319.281,318.562,317.531,314.562,317.656,319.719,330.938,332.594
22.5,73.5,307.688,307.938,320.406,325.438,330.594,291.719,284.156,283.531,290.656,307.656,300.812,312.25,306.969,312.688,323.125,317.031,322.781,295.5,284.781,281.156,293.656,311.438,311.75,313.75,308.094,310.875,328.219,318.375,324.938,298.844,285,281.594,291.094,311,314.469,306.125,306,310.75,322.031,318.656,325.781,286.062,276.781,282.75,291.344,307.656,311.969,313.312,302.438,307.219,314.5,317.469,319.281,301.562,289.312,284.375,295.5,311.469,310.469,309.625,309.875,308.406,306.531,319.094,323.75,296.281,292.906,288.781,298.406,311.094,312.125,309.75,309.375,309.844,309.125,315.25,318.5
22.5,74.5,303.469,300.125,308.625,311.969,317.562,286.938,281.219,281.25,284.938,301.812,294.781,307.812,302.969,308,313.938,308.188,312.688,290.562,282.188,279.531,289,305.094,308.781,312.5,305.344,304.812,317.375,306.875,315.844,292.438,280.062,280.438,287.469,305.188,308.375,302.875,302.344,303.719,309.562,308.188,314.5,282,278.25,280.062,287.562,302.188,308.844,311.125,299.656,303.625,306.125,308.656,311.656,296.688,284.812,281.406,289.625,305.906,307.094,306.219,305.75,304.812,300.688,313.25,312.062,290.906,287.219,284.781,292.062,304.156,307.719,305.188,305.719,301.844,302.344,305.25,311.031
22.5,75.5,303.75,300.156,307.562,308.438,314.875,284.938,281.469,281.438,283.062,299.219,291.625,307.75,306.094,310.594,315.188,308.719,309.906,287,280.75,277.875,289.094,301.094,310.062,314.625,308.125,307.312,317.719,306.375,313.969,288.312,279.625,281.312,288.125,301.625,308.062,304.344,305.406,304.719,309.375,308.375,310.781,281.469,278.438,278.156,284.969,299.156,309.219,312.688,302.969,305.656,307.219,308.688,311.312,293.312,281.781,280.531,286.844,302.094,305.625,306.969,308.469,308.219,302.719,313.156,308.625,289.312,286.312,283.156,289.531,301.562,308.094,304.625,307.969,303.125,303.781,307.031,310.688
23.5,70.5,313.719,321.344,346.125,347.875,349.25,327.562,291.188,288.156,306.844,330.469,313.031,315.531,304.812,312.656,335.969,339.094,342.844,324.406,292.719,289.25,305.125,327.406,322.188,316.375,305.938,310.188,336.719,328.812,342.75,325.625,300.688,288.062,302.906,331.031,322.719,307.281,306.281,313.125,341.969,331.906,347.125,305.594,287.438,290.5,309.188,317.938,319.062,315.125,304.406,311.188,325.906,340.094,333.5,333.344,302.844,294.219,312.938,331.469,320.656,314.625,311.156,314.438,325.594,335.094,346.688,317.094,297.312,301.5,316.938,330.062,320.312,312.906,309.406,322.094,322.312,332.438,339.844
23.5,71.5,315.75,325.625,346.094,347.062,349.344,317.031,289.312,286,303.375,325.688,311.375,319.469,311.469,319.875,340.219,340.938,343.531,319.719,290.25,284.938,304.438,325.281,320.344,320.906,311.156,317.125,344.781,334.781,343.875,318.625,297.219,285.938,300.875,327.656,325.781,311.844,312.188,318.531,343.406,335,346.562,300.156,281.625,288.281,304.688,316.281,319.562,318.688,308.719,313.969,326.719,339.875,337.5,327.844,301.531,290.906,310,326.281,320.219,315.875,316.812,319.938,325.531,336.844,347.875,312.062,298.469,297.594,313.125,328.812,321.875,316.688,314.688,323.125,325.656,338,339.969
23.5,72.5,325.219,336.062,355,354.438,357.344,309.812,287.375,286.188,299.594,321.062,310.625,324.094,319.375,327.875,348.5,344.062,346.219,315.031,290.938,283.562,301.594,323.656,321.531,326.062,318.969,327.844,355.188,341.688,349.406,317.062,292.969,285.062,299.969,328.5,331.062,318.969,323.062,329.312,349.844,341.469,351.438,296,280.062,286,301.938,316.781,321.281,323.688,312.719,319.25,334.719,345.281,342.031,326.25,296.781,288.5,304.844,321.812,320.469,321.156,323.031,328.875,332.094,344.031,352.719,308.75,299.531,296.219,310.938,327.219,326.25,326.25,325.25,331.125,334.406,343.938,343.25
23.5,73.5,323.031,331.875,349.656,347.719,351.5,299.188,285,283.938,293.562,313.406,308.125,322.312,320.188,329.094,347.438,337.219,340.688,304.094,287.062,281.469,298.844,319,318.562,326.188,321.531,330.969,355.875,339.094,343.562,309.938,289.875,284.25,297.906,324.062,332.25,321.719,328.656,335.5,347.844,339.156,345.844,292.375,278.594,282.812,296.656,313.719,318.781,322.844,313.5,321.219,335.969,341.312,336.344,316.656,293.312,286.531,299.844,317.656,318.531,322.281,326,331.281,330.125,340.344,347.188,303.969,297.438,292.406,305.125,319.375,322.406,324.5,327.75,332.062,334.719,338.719,337.094
23.5,74.5,301.312,299.625,306.094,307.344,316.469,287.969,281.812,280.594,285.906,301.906,296.594,308.625,301.812,306.844,313.469,305.938,312.031,291.312,282.094,280.406,291.188,305.938,307.719,311.625,305,304.406,314,304.438,313.25,293.031,281.688,281.344,289.719,305.562,308.875,303.125,302.938,304.094,307.781,305.875,311.969,283.75,279.094,279.875,288.812,303.75,308.688,311.312,299.125,302.031,305.062,307.281,310.906,297.438,285.25,281.094,290.906,304.531,305.438,305.781,306.25,304.812,299.875,312.562,312.219,292.781,288.75,285.469,295.469,304.469,306.75,305.031,305.625,301.875,301.344,304.719,309.531
23.5,75.5,301.875,297.438,303.781,303.656,312.531,285.25,280.469,281.656,283.094,299.594,292.188,307.031,304.031,307.688,311.969,304.719,307.5,288.25,282.344,279.938,290.344,300.656,307.375,312.812,306.875,304.344,312.656,301.594,309.312,289.188,281.406,282.938,287.969,301.406,306.812,302.062,305.031,303.031,306.969,303.875,307.875,282.125,280.031,279.75,285.594,299.906,307.969,311.375,300.094,302.5,304.156,305.406,308.219,293.594,282.688,282,287.25,300.688,303.719,306.031,307.719,306.156,299.094,311,307.625,290.125,287.719,283.781,290.969,301.094,304.438,304.156,306.5,300.781,299.844,301.844,307.594
24.5,70.5,316.562,322.25,349,351.062,350,330,293.719,287.281,308.375,331.312,313,318.656,307.875,315.188,337.062,341,342.5,326.719,296.062,292.75,308.688,326.938,322.125,317.781,308.406,311.812,334.625,328.5,341.344,323.188,302,289.094,306.25,330.719,322.156,308.938,309.125,319.562,344.562,333,349.656,309.156,290,293.906,316.5,319.781,320.219,316.781,308.406,315.875,323.062,334.656,331.438,336.938,304.312,296.344,316.906,335.656,323,318.656,315.594,319.969,327.75,339.969,345.938,319.656,299.531,301.812,319.75,330.25,320.344,315.594,313.781,326.031,321.188,333.188,341.75
24.5,71.5,312,314.438,332.25,336.5,342.344,316.781,290.062,285.625,303.312,322.812,307.219,314.344,305.75,314.406,325.062,325.594,333.938,317.781,293.688,287.875,304.906,320.469,314.625,312.812,303.406,307.031,327.156,322.5,332.188,316.594,296.625,286.031,301.844,323.906,318.656,306.656,305.938,313.094,334.75,325.094,337.938,299.625,285.219,289.531,305.875,315.219,315.312,313.406,303.438,309.281,314.438,326.781,327.781,325.719,300.344,292.125,310.875,325.312,316.656,312.438,312.281,316.625,321.188,330.812,339.75,309.812,298.531,295.812,311.875,321.344,315.625,311,310.594,316.375,312.656,322.031,332.75
24.5,72.5,318.969,326.812,345.031,341.781,346.75,308.938,287.5,285.094,299.375,319.781,308.5,319.531,312.688,320.312,336.5,333.562,337.375,312.375,290.031,284.125,303.781,321.062,316.469,320.656,312.719,321.062,344.5,333.438,339.406,315.094,294.406,285.469,299.5,325.438,326.062,315.938,319.688,325.062,343.719,333.844,343.844,296.219,280.344,285.75,300.531,316.969,319.312,318.688,309.031,314.219,326.844,338.125,335.156,323.25,297,288,305.031,320.969,317.656,317.719,320.969,325.062,327.75,338.812,345.781,307.281,299.938,295.125,310.562,322.25,322.875,321.969,320.875,326.656,327.969,333.719,336.094
24.5,73.5,319.375,328.844,344.656,344.219,348.906,301.375,283.25,284.375,294.656,314.438,308.688,320.938,315.25,323.5,342.531,334.25,337.75,306.438,285.75,280.594,301.906,319.719,319.156,324.469,316.844,327.344,350.438,336.344,340.938,310.312,287.969,284.969,298.5,324.25,330.188,321.125,327.375,331.938,349.625,338.031,342.406,291.781,276.812,282.75,295.344,314.094,319.875,321.719,311.594,317.125,333.281,340.938,335.094,316.5,292.25,285.531,300.281,316.781,317.75,319.312,323.75,327.688,329.906,339.719,346.781,306.25,293.906,291.688,307.938,320,322.781,324.375,325.906,329.625,333.594,337.875,335.375
24.5,74.5,301.844,301.219,307.688,307.25,318.125,289.562,282.094,281.719,287.969,304,297.5,309.656,303.094,307.469,313.969,305.125,313.688,291.781,282.5,280.531,293.281,306.5,307.625,312.906,306.125,306.219,316.375,304.75,313.625,294.781,281.469,282.938,291.25,306.844,309.812,303.031,305.469,305.875,307.938,306.25,311.75,284.062,279.188,280.688,288.781,304.875,309.812,312.375,301.094,302.344,307.125,307.562,310.656,298.5,285.812,281.781,291.656,304.438,306.719,306,307.656,305.281,299.875,313.5,314.562,295.031,289.531,287.438,297.812,305.5,307.375,306.562,307.219,303.531,301.469,304.469,310.969
24.5,75.5,301.5,298.719,304.531,303.312,314.156,287.344,281.625,281.781,284,300.844,293.969,307.906,303.781,308.062,312.781,304.25,309.094,290.25,282,280.344,291.719,300.812,307.375,312.156,306.969,305.656,313.5,301.469,309.406,290.938,281.438,284.031,289.344,303.469,307.438,302.219,305.906,304.312,307,303.812,308.406,282.438,279.719,280.344,287,301.25,308.781,311.625,300.562,302.094,305.031,306.688,308.094,294.969,284.062,282.312,288.812,302,304.031,306.219,308.719,306.375,299.406,311.938,309.719,292.531,288.5,285.469,292.188,301.719,305.031,304.344,307.344,301.875,300.375,301.969,308
