Index,lat,lon,Date,OLR_w/m2,co2_conc,avg_temp_kelvin
418,22,70,16/11/2013,314.8905,395.605,295.835
419,22,72.5,16/11/2013,316.328,395.084,296.392
420,22,75,16/11/2013,312.25,394.16,293.757
421,24,70,16/11/2013,319.6405,396.363,296.283
422,24,72.5,16/11/2013,320.2965,393.795,295.517
423,24,75,16/11/2013,308.375,394.858,292.308
424,20,70,16/12/2013,310.1565,396.218,298.305
425,20,72.5,16/12/2013,317.844,396.573,297.758
426,20,75,16/12/2013,324.5935,395.615,292.39
427,22,70,16/12/2013,314.8435,395.655,293.165
428,22,72.5,16/12/2013,318.5935,395.601,293.539
429,22,75,16/12/2013,317.344,395.017,292.515
430,24,70,16/12/2013,315.953,397.078,292.359
431,24,72.5,16/12/2013,321.188,396.224,292.151
432,24,75,16/12/2013,311.5,395.284,290.389
433,20,70,16/1/2014,296.4845,398.085,297.009
434,20,72.5,16/1/2014,305.6095,395.643,296.365
435,20,75,16/1/2014,317.4845,394.326,293.559
436,22,70,16/1/2014,305.375,398.591,292.039
437,22,72.5,16/1/2014,306.2815,394.629,292.757
438,22,75,16/1/2014,309.75,394.308,292.465
439,24,70,16/1/2014,306.406,396.459,290.366
440,24,72.5,16/1/2014,310.875,397.238,291.092
441,24,75,16/1/2014,300.328,395.106,289.153
442,20,70,15/2/2014,305.7815,396.121,297.371
443,20,72.5,15/2/2014,314.125,396.308,296.996
444,20,75,15/2/2014,329.4535,395.617,295.714
445,22,70,15/2/2014,310.703,396.208,294.915
446,22,72.5,15/2/2014,312.0785,393.907,295.568
447,22,75,15/2/2014,315.578,395.426,294.904
448,24,70,15/2/2014,313.5315,395.919,293.857
449,24,72.5,15/2/2014,316.7345,395.162,294.292
450,24,75,15/2/2014,302.297,395.543,292.209
451,20,70,16/3/2014,321.4065,397.313,298.829
452,20,72.5,16/3/2014,325.687,398.361,299.124
453,20,75,16/3/2014,321.172,394.717,299.361
454,22,70,16/3/2014,325.141,398.262,299.426
455,22,72.5,16/3/2014,324.172,396.209,300.197
456,22,75,16/3/2014,317.375,396.498,299.924
457,24,70,16/3/2014,324.484,397.786,299.59
458,24,72.5,16/3/2014,330.7815,395.443,299.767
459,24,75,16/3/2014,304.5935,396.625,298.202
460,20,70,16/4/2014,338.9685,397.847,300.172
461,20,72.5,16/4/2014,343.453,397.621,301.083
462,20,75,16/4/2014,336.8435,397.223,304.342
463,22,70,16/4/2014,338,398.225,303.272
464,22,72.5,16/4/2014,334.5935,397.587,304.438
465,22,75,16/4/2014,321.766,398.134,305.126
466,24,70,16/4/2014,337.375,399.898,304.635
467,24,72.5,16/4/2014,341.703,399.149,304.705
468,24,75,16/4/2014,306.047,398.011,304.212
469,20,70,16/5/2014,339.2815,398.671,301.886
470,20,72.5,16/5/2014,341.7655,399.522,302.524
471,20,75,16/5/2014,335.8595,397.977,305.764
472,22,70,16/5/2014,334.531,397.634,304.909
473,22,72.5,16/5/2014,333.687,399.693,306.641
474,22,75,16/5/2014,320.156,401.289,307.458
475,24,70,16/5/2014,332.469,399.538,306.637
476,24,72.5,16/5/2014,338.5935,398.82,306.981
477,24,75,16/5/2014,308.1565,398.423,307.224
478,20,70,16/6/2014,326.9685,399.861,302.465
479,20,72.5,16/6/2014,318,394.6630477,303.007
480,20,75,16/6/2014,309.375,399.726,304.11
481,22,70,16/6/2014,328.625,399.242,305.066
482,22,72.5,16/6/2014,315.953,400.565,306.04
483,22,75,16/6/2014,297.406,402.317,306.503
484,24,70,16/6/2014,335.141,397.553,307.501
485,24,72.5,16/6/2014,324.75,399.626,307.95
486,24,75,16/6/2014,294.2815,399.179,307.308
487,20,70,16/7/2014,297.703,400.294,301.654
488,20,72.5,16/7/2014,291.5625,394.6630477,301.677
489,20,75,16/7/2014,288.2345,393.818,299.891
490,22,70,16/7/2014,299.1405,395.282,302.55
491,22,72.5,16/7/2014,291.969,397.927,303.443
492,22,75,16/7/2014,281.9685,400.955,301.401
493,24,70,16/7/2014,303.578,399.35,305.222
494,24,72.5,16/7/2014,296.8905,398.303,304.266
495,24,75,16/7/2014,283.375,398.47,302.189
496,20,70,16/8/2014,290.5,397.307,300.476
497,20,72.5,16/8/2014,284.922,396.349,300.665
498,20,75,16/8/2014,285.531,397.266,298.651
499,22,70,16/8/2014,289.0935,395.515,300.588
500,22,72.5,16/8/2014,285.562,396.627,301.245
501,22,75,16/8/2014,280.281,394.894,299.282
502,24,70,16/8/2014,295.2815,398.078,303.141
503,24,72.5,16/8/2014,288.25,398.141,300.491
504,24,75,16/8/2014,282.156,396.37,299.033
505,20,70,16/9/2014,302.484,396.376,300.917
506,20,72.5,16/9/2014,295.9845,396.757,301.034
507,20,75,16/9/2014,295.906,395.824,297.744
508,22,70,16/9/2014,304.4375,395.918,300.252
509,22,72.5,16/9/2014,299.9535,397.501,301.147
510,22,75,16/9/2014,287.1095,397.689,298.657
511,24,70,16/9/2014,314.922,396.091,302.717
512,24,72.5,16/9/2014,304.9375,397.145,299.61
513,24,75,16/9/2014,288.031,397.083,298.134
514,20,70,16/10/2014,320.5785,396.506,302.229
515,20,72.5,16/10/2014,318.4215,395.121,302.029
516,20,75,16/10/2014,309.6405,396.294,297.826
517,22,70,16/10/2014,320.7345,395.415,301.558
